Record #,Label_UPC,Nielsen  Item Rank UPC,Nieslen Category,Label Description,Brand,Manufacturer,Country,Package Size,Package Size UofM,Number of Units,Storage Type,Storage Statements,Collection Date,Health Claims,Nutrient Claims,Other Package Statements,Suggested  Use/Directions,Ingredients,Multipart ?,Nutrition Facts Table,Common Household Measure,Per Serving Amount,Per Serving UofM,Per Serving Amount as PPD,Per Serving Amount As PPD UofM,PerServing Energy (kcal),Per Serving Energy (kcal) as PPD,PerServing Energy (kJ),PerServing Energy (kJ) as PPD,Fat PerServing (g),Fat % DV ,Fat % DV as PPD,Fat (Saturated) PerServing (g),Fat (Trans) PerServing (g),Fat (Saturated + Trans) % DV,Fat (Saturated + Trans) % DV as PPD,Fats (Polyunsaturated) PerServing (g),Fats (Omega-6 Polyinsaturated) PerServing (g),Fats (Omega-3 Polyinsaturated) PerServing (g),Fats (Monounsaturated) PerServing (g),Carbohydrates PerServing  (g),Carbohydrates % DV ,Carbohydrates % DV as PPD , Fibre PerServing (g),Fibre % DV ,Fibre % DV as PPD,Fibre (soluble) PerServing (g),Fibre (insoluble)PerServing (g),Sugar (Total) PerServing (g),Sugar (Total) % DV,Sugar (Total) % DV as PPD,Sugar (Alchols) PerServing (g),Starch  PerServing (g), Protein PerServing (g),Cholesterol PerServing  (mg),Cholesterol % DV,Cholesterol % DV as PPD, Sodium PerServing (mg), Sodium % DV, Sodium % DV as PPD,Potassium PerServing (mg),Potassium % DV,Potassium % DV as PPD,Calcium PerServing (mg),Calcium  % DV,Calcium  % DV as PPD,Iron PerServing (mg),Iron % DV,Iron % DV as PPD,Vitamin A PerServing (um),Vitamin A % DV,Vitamin A % DV as PPD,Vitamin C PerServing (mg),Vitamin C % DV,Vitamin C % DV as PPD,Vitamin D PerServing (um),Vitamin D % DV,Vitamin D % DV as PPD,Vitamin E PerServing (mg),Vitamin E % DV,Vitamin E % DV as PPD,Vitamin K PerServing (ug),Vitamin K % DV,Vitamin K % DV as PPD,Thiamine PerServing (mg),Thiamine % DV,Thiamine % DV as PPD,Riboflavin PerServing (mg),Riboflavin % DV,Riboflavin % DV as PPD,Niacin PerServing (mg),Niacin % DV,Niacin % DV as PPD,Vitamin B6 PerServing (mg),Vitamin B6 % DV,Vitamin B6 % DV as PPD,Folate PerServing (ug),Folate % DV,Folate % DV as PPD,Vitamin B12 PerServing (ug),Vitamin B12 % DV,Vitamin B12 % DV as PPD,Biotin PerServing (ug),Biotin % DV,Biotin % DV as PPD,Choline PerServing (mg),Choline % DV,Choline % DV as PPD,Pantothenate PerServing (mg),Pantothenate % DV,Pantothenate % DV as PPD,Phosphorus PerServing (mg),Phosphorus % DV,Phosphorus % DV as PPD,Iodide PerServing (ug),Iodide % DV,Iodide % DV as PPD,Magnesium PerServing (mg),Magnesium % DV,Magnesium % DV as PPD,Zinc PerServing (mg),Zinc % DV,Zinc % DV as PPD,Selenium PerServing (ug),Selenium % DV,Selenium % DV as PPD,Copper PerServing (mg) ,Copper % DV,Copper % DV as PPD,Manganese PerServing (mg),Manganese % DV,Manganese % DV as PPD,Chromium PerServing (ug),Chromium % DV,Chromium % DV as PPD,Molybdenum PerServing (ug),Molybdenum % DV,Molybdenum % DV as PPD,Chloride PerServing (mg),Chloride % DV,Chloride % DV as PPD,Per Serving Amount in Grams,Per Serving Amount in Grams as PPD,Comment,Source,Product Description
140,063211014778,6321101477,SOUP,Campbell's Creams Condensed Soup Cheddar Cheese 284 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,284,mL,,Ambient,Refrigerate unused portions promptly,2016-04-07,,,,"Empty soup into saucepan and slowly add one full can of water, stirring constantly. Heat, stirring often. : From Ambient : Hob","Water,Cheddar cheese (milk, salt, bacterial culture, calcium chloride, rennet and/or pepsin and/or microbial enzyme),Wheat flour,Canola or soybean oil,Corn starch,Tomato paste,Modified milk ingredients,Salt,Enzyme modified cheddar cheese (cheddar cheese, water, disodium phosphate, enzymes),Soy protein isolate,Monosodium glutamate,Yeast extract,Spices (mustard),Beta carotene",,"Per 125 mL
Calories: 160,Fat : 10 g,Saturated: 3.5 g,+ Trans : 0 g,Cholesterol : 15 mg,Sodium : 870 mg,Carbohydrate : 11 g,Fibre : 1 g,Sugars : 2 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 15 %,Saturated: 18 %,+ Trans ,Cholesterol ,Sodium : 36 %,Carbohydrate : 4 %,Fibre : 4 %,Sugars ,Protein ,Vitamin A: 4 %,Vitamin C: 0 %,Calcium: 10 %,Iron: 4 %",Per 125 mL,125,mL,,,160,,,,10,15,,3.5,0,18,,,,,,11,4,,1,4,,,,2,,,,,6,15,,,870,36,,,,,,10,,,4,,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,Nielsen,
141,063211013474,6321101347,SOUP,Campbell's Creams Condensed Soup Cream of Broccoli & Cheese 284 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,284,mL,,Ambient,Refrigerate unused portions promptly,2016-04-07,,,,"Empty soup into saucepan and slowly add ½ can of milk and ½ can of water, stirring constantly. Heat, stirring often. For extra richness, follow directions using all milk. : From Ambient : Hob","Water,Broccoli,Wheat flour,Cheddar and parmesan cheese (milk),Modified corn starch,Canola or soybean oil,Salt,Cream,Flavour,Whey powder,Onion powder,Potassium chloride (salt substitute),Soy protein concentrate,Dehydrated garlic,Beta carotene,Spice,Lactic acid",,"Per 125 mL
Calories: 100,Fat : 4 g,Saturated: 1.5 g,+ Trans : 0 g,Cholesterol : 5 mg,Sodium : 790 mg,Carbohydrate : 12 g,Fibre : 2 g,Sugars : 2 g,Protein : 3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 6 %,Saturated: 8 %,+ Trans ,Cholesterol ,Sodium : 33 %,Carbohydrate : 4 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 10 %,Vitamin C: 2 %,Calcium: 4 %,Iron: 4 %",Per 125 mL,125,mL,,,100,,,,4,6,,1.5,0,8,,,,,,12,4,,2,8,,,,2,,,,,3,5,,,790,33,,,,,,4,,,4,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,Nielsen,
142,063211010510,6321101051,SOUP,Campbell's Condensed Soup Chicken with Rice 284 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,284,mL,,Ambient,Refrigerate unused portions promptly,2016-03-23,,Low in fat,"No artificial colours or flavours
Gluten-free
Long grain rice
Fresh carrots
Lean chicken","Directions: Empty soup into saucepan and slowly add one full can of water, stirring constantly. Heat, stirring often. Season to your personal preference.","Chicken broth (water, chicken stock),Rice,Carrots,Seasoned chicken (soy),Potato starch,Chicken fat,Flavour,Celery,Salt,Yeast extract,Onion powder,Carrot juice concentrate,Powdered cooked chicken,Potassium chloride (salt substitute),Sea salt,Dehydrated garlic,Lactic acid,Beta carotene",,"Per 125 mL 250 mL prepared
Calories: 80,Fat : 2 g,Saturated: 0.5 g,+ Trans: 0 g,Cholesterol : 5 mg,Sodium : 480 mg,Potassium : 160 mg,Carbohydrate : 13 g,Fibre : 1 g,Sugars : 1 g,Protein : 2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 3 %,Saturated: 3 %,+ Trans,Cholesterol ,Sodium : 20 %,Potassium : 5 %,Carbohydrate : 4 %,Fibre : 4 %,Sugars ,Protein ,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 2 %",Per 125 mL/250 mL prepared,125,mL,250,mL,80,,,,2,3,,0.5,0,3,,,,,,13,4,,1,4,,,,1,,,,,2,5,,,480,20,,160,5,,,2,,,2,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,Nielsen,
143,063211021073,6321102107,SOUP,Campbell's Chicken Broth 284 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,284,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,Fat free,Condensed soup,"Soup Directions: Empty soup into saucepan and slowly add one full can of water, stirring constantly. Heat, stirring often. : From Ambient : Hob","Chicken broth (water, chicken stock),Salt,Monosodium glutamate ,Dextrose ,Barley yeast extract ,Flavour,Spice,Caramel ,Beta carotene ",,"Per 125 mL
Calories: 10 ,Fat : 0 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium : 990 mg,Carbohydrate : 1 g,Fibre : 0 g,Sugars: 0 g,Protein : 2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 0 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium : 41 %,Carbohydrate : 1 %,Fibre : 0 %,Sugars,Protein ,Vitamin A: 2 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 125 mL,125,mL,,,10,,,,0,0,,0,0,0,,,,,,1,1,,0,0,,,,0,,,,,2,0,,,990,41,,,,,,0,,,0,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,Nielsen,
144,063211038132,6321103813,SOUP,Campbell's Chunky Chicken Corn Chowder 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerated unused portions promptly,2016-03-30,,,"Soup that eat like a meal
Ready to serve soup
No artificial colours or flavours","Do not add water. : From Ambient : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove top: Heat and serve. : From Ambient : Other","Chicken broth (water, chicken stock),Corn,Potatoes ,Seasoned chicken,Carrots,Canola or soybean oil,Cream (milk),Celery,Modified corn starch,Wheat flour,Chicken fat ,Bacon,Flavour,Sugar,Salt,Dehydrated onions ,Yeast extract,Soy protein isolate,Hydrolyzed wheat gluten ,Spices ,Beta carotene ",,"Per 250 mL
Calories: 300 ,Fat : 19 g,Saturated: 3 g,+ Trans : 0 g,Cholesterol: 25 mg,Sodium : 850 mg,Carbohydrate : 24 g,Fibre : 4 g,Sugars: 6 g,Protein : 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 29 %,Saturated: 15 %,+ Trans ,Cholesterol,Sodium : 35 %,Carbohydrate : 8 %,Fibre : 16 %,Sugars,Protein ,Vitamin A: 8 %,Vitamin C: 4 %,Calcium: 2 %,Iron: 6 %",Per 250 mL,250,mL,,,300,,,,19,29,,3,0,15,,,,,,24,8,,4,16,,,,6,,,,,8,25,,,850,35,,,,,,2,,,6,,,8,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,Nielsen,
145,055266122607,5526612260,SOUP,Canton Fondue & Dipping Sauce Oriental 180 ml,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,180,mL,,Ambient,"Refrigerate after opening.
See ""best before"" on the container bottom",2016-04-13,,,"Free From Gluten
Contains Soya",,"Water,Tomato paste,Spices (fructose, dextrose, salt, soy lecithin),Vinegar,Salt,Modified corn starch",,"Per 1 tbsp (15 ml)
Calories: 20,Fat : 0 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol : 0 mg,Sodium : 200 mg,Carbohydrate : 4 g,Fibre : 0 g,Sugars : 3 g,Protein : 0,3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 0 %,Saturated: 0 %,+ Trans,Cholesterol ,Sodium : 8 %,Carbohydrate : 1 %,Fibre : 0 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 4 %,Calcium: 0 %,Iron: 2 %",Per 1 tbsp ,15,ml,,,20,,,,0,0,,0,0,0,,,,,,4,1,,0,0,,,,3,,,,,0.3,0,,,200,8,,,,,,0,,,2,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,fondues were excluded in 2010 analysis,Nielsen,
146,055266122645,5526612264,SOUP,Canton Fondue & Dipping Sauce 3 Pepper 180 ml,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,180,mL,,Ambient,"Refrigerate after opening.
See ""best before"" on the container bottom.",2016-04-13,,,"Free From Gluten
Contains Eggs
Contains Mustard",,"Water,Canola and/or soy oil,Vinegar,Modified corn starch,Enzyme modified egg yolk (egg yolk, salt, phospholipase),Sugar,Salt,Mustard,Spices,Xanthan gum,Citric acid",,"Per 1 tbsp (15 ml)
Calories: 35,Fat: 3,5 g,Saturated: 0,5 g,+ Trans: 0 g,Sodium: 115 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 1 g,Protein: 0,2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 5 %,Saturated: 3 %,+ Trans,Sodium: 5 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,ml,,,35,,,,3.5,5,,0.5,0,3,,,,,,1,1,,0,0,,,,1,,,,,0.2,,,,115,5,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,fondues were excluded in 2010 analysis,Nielsen,
147,055266122638,5526612263,SOUP,Canton Fondue & Dipping Sauce Béarnaise 180 ml,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,180,mL,,Ambient,"Refrigerate after opening.
See “best before” on the container bottom.",2016-04-13,,,"Free From Gluten
Contains Eggs
Contains Mustard",,"Water,Canola and/or soy oil,Enzyme modified egg yolk (egg yolk, salt, phospholipase),Modified corn starch,Red wine vinegar,Sugar,Shallots,Salt,Mustard,Herbs,Dehydrated onions,Xanthan gum,Spices",,"Per 1 tbsp (15 ml)
Calories: 35,Fat: 3,5 g,Saturated: 0,5 g,+ Trans: 0 g,Cholesterol: 10 mg,Sodium: 120  mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 0 g,Protein: 0,3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 5 %,Saturated: 3 %,+ Trans,Cholesterol,Sodium: 5 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,ml,,,35,,,,3.5,5,,0.5,0,3,,,,,,1,1,,0,0,,,,0,,,,,0.3,10,,,120,5,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,fondues were excluded in 2010 analysis,Nielsen,
148,055266122614,5526612261,SOUP,Canton Fondue & Dipping Sauce Bourguignonne 180 ml,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,180,mL,,Ambient,"Refrigerate after opening.
See “best before” on the container bottom.",2016-04-13,,,"Free From Gluten
Contains Eggs
Contains Mustard",,"Water,Canola and/or soy oil,Red wine,Tomato paste,Vinegar,Modified corn starch,Enzyme modified egg yolk (egg yolk, salt, phospholipase),Seasoning (mustard, sugar, garlic powder, glucose, onion powder, salt, acetic acid, sodium diacetate, vegetable oil shortening, spices),Salt,Xanthan gum",,"Per 1 tbsp (15 ml)
Calories: 35,Fat: 3,5 g,Saturated: 0,5 g,+ Trans: 0 g,Cholesterol: 5 mg,Sodium: 180 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 0 g,Protein: 0,2 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 5 %,Saturated: 3 %,+ Trans,Cholesterol,Sodium: 8 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,ml,,,35,,,,3.5,5,,0.5,0,3,,,,,,1,1,,0,0,,,,0,,,,,0.2,5,,,180,8,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,fondues were excluded in 2010 analysis,Nielsen,
149,055266225902,5526622590,SOUP,Canton Broth for Hot Pot and Cooking Beef-Onion 1.1 L,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,1.1,L,,Ambient,Refrigerate after opening,2016-04-13,,,"11% more broth
Delicious with our bourguignonne sauce
Delicious with our chinese sauce
Contains Wheat
Contains Soya","Canton® suggests:
Meats: Beef, chicken, sausage, lamb, veal, horsemeat, pork.
Vegetables: Squash sticks, cherry tomatoes, red, yellow and orange sweet pepper strips.

Canton® Tips
Save your broth after you fondue meal, add 250 mL of water, chicken or beef broth with a 1.5kg chuck roast. Cover and cook during 4 hours at 175°C (350°F).
Much more than fondue!
Soups, stews, roasts, cooking sauces, vegetable sauté, crock-pot recipes, rice and many more.

Directions: Pour contents into fondue pot and heat. Cook thin slices of stir-fry meat, seafood, poultry or your favourite vegetables in simmering broth.
One-Step Opening! Twist to break the aluminium film.","Water,Red wine,Dextrose,Salt,Canola oil,Modified corn starch,Onions,Hydrolysed soy protein,Yeast extract,Vinegar,Sugar,Dehydrated carrots,Soy sauce powder (soy, wheat, salt),Citric acid,Garlic powder,Seasoning (contains hydrolysed soy protein, yeast extract, potassium chloride),Spices,Disodium inosinate and guanylate,Onion powder",,"Per 1 tbsp (15 mL)
Calories: 5,Fat: 0,3 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 150 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 1 g,Protein: 0,1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 1 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 6 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,mL,,,5,,,,0.3,1,,0,0,0,,,,,,1,1,,0,0,,,,1,,,,,0.1,0,,,150,6,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,fondues were excluded in 2010 analysis,Nielsen,
150,055266222857,5526622285,SOUP,Canton Broth for Hot Pot and Cooking Mushrooms 1.1 L,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,1.1,L,,Ambient,Refrgerate after opening,2016-04-13,,,"11% more broth
Delicious with bourguignonne sauce
Delicious with our oriental sauce
Gluten free
Contains Milk
Contains Soya","Canton® suggests:
Meats: Moose, deer, bison, duck, wild boar, wapiti, beef.
Vegetables: Mushrooms, sweet pepper strips, carrots or blanched baby potatoes.

Canton® Tips
For a delicious Forester Soup, pour the broth in a saucepan. Brown one coarsely chopped shallot and approximately 400g mushrooms (of your choice) in 1 tbsp. olive oil. Add 650mL water and 1 tbsp. maple syrup; simmer over medium heat for 20 minutes. Using a blender, purée the soup and add 100mL light cream. Serve and garnish with thinly minced chive.
Much more than fondue!
Soups, stews, roasts, cooking sauces, vegetable sauté, crock-pot recipes, rice and many more.

Directions: Pour contents into fondue pot and heat. Cook thin slices of stir-fry meat, seafood, poultry or your favourite vegetables in simmering broth.","Water,Red wine,Applesauce (contains ascorbic acid),Sugar,Seasoning [hydrolyzed corn protein, dehydrated vegetables (onions, mushrooms, garlic), sugar, spices, caramel, beef fat, flavour],Salt,Modified corn starch,Cooked mushrooms,Soy sauce (water, soybeans, salt)  ,Mushroom powder,Salt,Butter,Potato flour,Yeast extract,Molasses,Flavour,Onion powder,Spice,Canola oil,Citric acid",,"Per 1 tbsp (15 mL)
Calories: 4,Fat: 0 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 180 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 1 g,Protein: 0,1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 0 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 8 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,mL,,,4,,,,0,0,,0,0,0,,,,,,1,1,,0,0,,,,1,,,,,0.1,0,,,180,8,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,fondues were excluded in 2010 analysis,Nielsen,
151,055266223908,5526622390,SOUP,Canton Broth for Hot Pot and Cooking Oriental Delight 1.1 L,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,1.1,L,,Ambient,Refrigerate after opening,2016-04-13,,,"11% more broth
Delicious with garlic sauce
Delicious with our curry sauce
Gluten free
Contains Soya
Contains Sesame","Canton® suggests:
Meats and seafood: Beef, chicken, shrimp.
Vegetables: Bok choy, rapini, canned miniature corn.

Canton® Tips
Prepared an Asian inspired soup with Oriental Delight broth by adding 400 mL of water or coconut milk, shrimp and vegetables.
Much more than fondue!
Soups, stews, roasts, cooking sauces, vegetable sauté, crock-pot recipes, rice and many more.

Directions: Pour contents into fondue pot and heat. Cook thin slices of stir-fry meats, seafood, poultry or your favourite vegetables in simmering broth.","Water,Red wine,Sugar,Salt,Canola and/or soy oil,Hydrolysed vegetable protein (soy, corn and canola),Dehydrated onions,Modified corn starch,Vinegar,Spices,Sodium diacetate (acidifier),Citric acid,Yeast extract,Disodium inosinate and guanylate,Ground ginger,Sesame seeds,Tomato powder,Roasted beef,Potassium chloride,Flavours",,"Per 1 tbsp (15 mL)
Calories: 5,Fat: 0,3 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 190 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 0 g,Protein: 0,1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 1 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 8 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,mL,,,5,,,,0.3,1,,0,0,0,,,,,,1,1,,0,0,,,,0,,,,,0.1,0,,,190,8,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,fondues were excluded in 2010 analysis,Nielsen,
152,055266222901,5526622290,SOUP,Canton Broth for Hot Pot and Cooking The Original 1.1 L,Canton,"Lassonde Specialties Inc.
200 Rue St-Joseph
St-Damase QC J0H 1J0
Montréal Toronto Halifax Calgary
Canada",Canada,1.1,L,,Ambient,Refrigerate after opening,2016-04-13,,,"11% more broth
Delicious with our dijonnaise sauce
Delicious with our béarnaise sauce
Gluten free
Contains Mustard
Contains Soya","Canton® suggests:
Meats or seafood: Beef, chicken, shrimp, sausage.
Vegetables: Broccolis, purple and orange cauliflowers, blanched miniature carrots and blanched baby potatoes.

Canton® Tips
To your broth, add 250mL of water, chicken broth, some vegetables of your choice and short pasta or rice and prepare a wholesome homemade soup.
Much more than fondue!
Soups, stews, roasts, cooking sauces, vegetable sauté, crock-pot recipes, rice and many more.

Directions: Pour contents into fondue pot and heat. Cook thin slices of stir-fry meat, seafood, poultry or your favourite vegetables in simmering broth.","Water,Sugar,White wine,Spices (hydrolysed soy proteins, salt, inosinate and guanylate disodium, mustard powder),Horseradish (mustard oil),Vinegar,Tomato paste,Dehydrated onions,Canola and/or soy oil,Salt,Modified corn starch,Parsley,Citric acid",,"Per 1 tbsp (15 mL)
Calories: 10,Fat: 0,2 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 95 mg,Carbohydrate: 2 g,Fibre: 0 g,Sugars: 1 g,Protein: 0,1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 1 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 4 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 0 %",Per 1 tbsp ,15,mL,,,10,,,,0.2,1,,0,0,0,,,,,,2,1,,0,0,,,,1,,,,,0.1,0,,,95,4,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,fondues were excluded in 2010 analysis,Nielsen,
